angulo_braco_direito,y_punho_direito,y_ombro_direito,angulo_braco_esquerdo,y_punho_esquerdo,y_ombro_esquerdo,rotulo
174,0.7725028395652771,0.5743048191070557,171,0.7784546613693237,0.5889195203781128,correto
174,0.781219482421875,0.5754192471504211,171,0.7801174521446228,0.5889526009559631,correto
173,0.7859463691711426,0.5761233568191528,171,0.7865989208221436,0.5891224145889282,correto
170,0.7881007790565491,0.5767842531204224,172,0.7910128235816956,0.5889368057250977,correto
168,0.7923077344894409,0.5774168968200684,170,0.7962014675140381,0.5888373851776123,correto
165,0.7956582903862,0.5776088833808899,166,0.8022940158843994,0.5887097120285034,correto
163,0.7973867058753967,0.5777813196182251,166,0.8051765561103821,0.588641345500946,correto
162,0.7997198700904846,0.5780160427093506,165,0.8045576810836792,0.5889703631401062,correto
162,0.7996336221694946,0.5783082246780396,165,0.8017270565032959,0.589211642742157,correto
162,0.7998332977294922,0.5785829424858093,164,0.8015998601913452,0.5895562171936035,correto
163,0.799483060836792,0.578834056854248,165,0.8012231588363647,0.5896862149238586,correto
163,0.7982766032218933,0.5791870355606079,166,0.802909791469574,0.5899055600166321,correto
164,0.7964913845062256,0.5797613263130188,167,0.8050253987312317,0.5904361605644226,correto
166,0.794957160949707,0.5807370543479919,168,0.8046053051948547,0.5908527374267578,correto
171,0.7873263359069824,0.581294596195221,172,0.8034830093383789,0.591163158416748,correto
175,0.7780095934867859,0.5816851854324341,177,0.7964032292366028,0.5912200808525085,correto
176,0.7648876309394836,0.5816587209701538,179,0.7874003648757935,0.5911957025527954,correto
175,0.7517630457878113,0.5814520120620728,178,0.7752397656440735,0.5908424854278564,correto
176,0.7356529831886292,0.5804701447486877,177,0.7603242993354797,0.5901681780815125,correto
178,0.7220016121864319,0.5793008804321289,176,0.7446037530899048,0.5889756679534912,correto
177,0.7101942300796509,0.5790687203407288,177,0.7336115837097168,0.5887909531593323,correto
177,0.6973010897636414,0.5787318348884583,176,0.7208141684532166,0.5882244110107422,correto
178,0.677703857421875,0.57792067527771,171,0.7044569849967957,0.5868126749992371,correto
177,0.6575973629951477,0.5770063400268555,167,0.6845251321792603,0.5854965448379517,correto
175,0.6421135663986206,0.5764541625976562,168,0.6691757440567017,0.5834953784942627,correto
170,0.621916651725769,0.5756864547729492,166,0.6588976383209229,0.5816255807876587,correto
167,0.5854261517524719,0.5671394467353821,162,0.6194403171539307,0.5732220411300659,correto
165,0.5628145933151245,0.5653433799743652,163,0.5986764430999756,0.572923481464386,correto
163,0.5571195483207703,0.565099835395813,159,0.5904536247253418,0.5702927708625793,correto
162,0.5512161254882812,0.5651569962501526,152,0.5754673480987549,0.5703226923942566,correto
163,0.550358772277832,0.5652130246162415,153,0.5742167234420776,0.5703592896461487,correto
154,0.5462295413017273,0.5652653574943542,153,0.5732167959213257,0.5703914761543274,correto
161,0.5467373132705688,0.5653066635131836,154,0.5745277404785156,0.5704213380813599,correto
170,0.5607269406318665,0.5724931955337524,158,0.5937250852584839,0.5691945552825928,correto
169,0.571499228477478,0.5700742602348328,158,0.6005436778068542,0.5698484182357788,correto
169,0.5966599583625793,0.56866055727005,160,0.615886926651001,0.5746257305145264,correto
170,0.598996102809906,0.5683907270431519,166,0.6249557137489319,0.5749193429946899,correto
173,0.6341128945350647,0.5691449046134949,162,0.6530258655548096,0.5780090093612671,correto
174,0.6345061659812927,0.5691568851470947,164,0.6529277563095093,0.5792142748832703,correto
178,0.6437790393829346,0.569311797618866,166,0.6552022099494934,0.5804573893547058,correto
179,0.6591779589653015,0.5696313381195068,170,0.6647493243217468,0.5819842219352722,correto
175,0.6762087345123291,0.5710955262184143,170,0.6775252819061279,0.583665668964386,correto
176,0.6965616345405579,0.5712329149246216,178,0.6986560821533203,0.584436297416687,correto
175,0.704943060874939,0.5714720487594604,176,0.7150891423225403,0.584483802318573,correto
